time,low,high,open,close,volume
1516751400,10795.98,10795.99,10795.98,10795.98,4.30738911
1516751340,10790.02,10795.99,10790.02,10795.99,4.04669452
1516751280,10775.4,10790.02,10775.4,10790.02,12.82209542
1516751220,10775.38,10775.4,10775.39,10775.4,5.718924540000001
1516751160,10770.04,10775.51,10775.51,10775.38,3.9127545700000006
1516751100,10775.5,10801.12,10801.12,10775.51,3.6833040299999995
1516751040,10801.11,10817.89,10817.88,10801.11,1.63082809
1516750980,10812.73,10832.0,10832.0,10817.88,2.91367554
1516750920,10832.0,10871.46,10871.46,10832.0,3.3078182099999998
1516750860,10855.77,10876.17,10858.25,10871.45,1.25662699
1516750800,10858.25,10881.3,10881.3,10858.26,2.5132414799999996
1516750740,10855.78,10881.3,10855.78,10881.29,2.90279711
1516750680,10850.0,10889.63,10850.0,10855.77,3.8657488499999992
1516750620,10830.69,10850.0,10832.52,10850.0,1.48896928
1516750560,10832.52,10850.0,10850.0,10832.52,1.6941449499999999
1516750500,10809.5,10850.0,10809.5,10850.0,7.068270390000001
1516750440,10801.11,10840.0,10840.0,10803.19,3.7612668699999996
1516750380,10816.08,10876.43,10876.42,10840.34,4.995940249999999
1516750320,10864.9,10879.58,10878.22,10876.42,1.7137159899999999
1516750260,10865.74,10915.0,10914.99,10865.74,14.048360879999999
1516750200,10887.5,10917.14,10887.5,10917.14,3.5884570599999996
1516750140,10849.0,10887.5,10849.0,10887.5,13.100456199999996
1516750080,10805.0,10849.0,10830.01,10849.0,9.956582319999999
1516750020,10860.36,10902.18,10902.17,10860.36,6.55731519
1516749960,10890.22,10907.66,10890.22,10902.17,5.80282531
1516749900,10875.99,10885.58,10876.92,10885.58,5.789440279999999
1516749840,10880.01,10918.65,10918.65,10880.01,6.836048339999999
1516749780,10915.0,10918.65,10915.0,10918.65,3.85605197
1516749720,10899.36,10915.0,10899.36,10915.0,3.89276267
1516749660,10876.92,10899.36,10877.01,10899.36,6.127653049999999
1516749600,10876.92,10885.01,10885.01,10877.0,3.0822572699999995
1516749540,10885.0,10918.25,10918.24,10885.01,2.67849734
1516749480,10903.14,10974.75,10974.75,10920.75,10.99676236
1516749420,10975.0,10978.6,10978.59,10975.0,4.51528488
1516749360,10977.48,10987.03,10987.02,10978.6,8.515555039999999
1516749300,10979.99,10992.69,10979.99,10987.03,4.84601534
1516749240,10980.0,11015.83,11015.82,10980.0,6.34104487
1516749180,11030.0,11049.99,11049.99,11030.0,1.6160574
1516749120,11047.0,11050.0,11047.01,11049.99,1.7651314900000001
1516749060,11033.98,11047.01,11033.98,11047.01,5.491813549999999
1516749000,11033.98,11034.0,11034.0,11033.98,1.20120638
1516748940,11033.99,11034.0,11033.99,11033.99,1.41169439
1516748880,11033.99,11034.0,11033.99,11033.99,0.7386682999999999
1516748820,11000.0,11043.12,11000.01,11033.98,1.7178272500000002
1516748760,10971.43,11000.01,11000.0,11000.0,3.9452078099999994
1516748700,11000.0,11015.02,11015.02,11000.0,5.574326780000001
1516748640,11015.0,11047.0,11047.0,11015.01,2.75633283
1516748580,11047.0,11047.01,11047.0,11047.01,4.3219324199999996
1516748520,11047.0,11047.01,11047.01,11047.01,3.3392810600000002
1516748460,11047.0,11047.01,11047.01,11047.01,1.9275482499999999
1516748400,11047.0,11047.01,11047.01,11047.0,1.06404612
1516748340,11047.0,11047.01,11047.0,11047.01,2.1506729599999996
1516748280,11047.0,11056.0,11056.0,11047.01,3.1668787399999996
1516748220,11056.0,11070.01,11070.0,11056.01,15.012052910000001
1516748160,11070.0,11070.01,11070.0,11070.0,4.28929133
1516748100,11070.0,11071.01,11071.01,11070.01,6.0909828599999996
1516748040,11071.0,11076.0,11075.99,11071.0,1.93032473
1516747980,11075.99,11089.0,11089.0,11075.99,6.29143374
1516747920,11088.99,11099.76,11099.76,11089.0,3.9807435399999997
1516747860,11099.75,11099.77,11099.76,11099.75,2.59245049
1516747800,11099.76,11099.77,11099.76,11099.77,0.8892552199999999
1516747740,11099.76,11099.77,11099.77,11099.77,0.33566921
1516747680,11099.76,11100.0,11100.0,11099.76,1.6664887
1516747620,11083.57,11089.98,11083.57,11089.98,2.95977691
1516747560,11079.99,11090.0,11079.99,11083.59,3.7775461200000002
1516747500,11079.99,11080.0,11079.99,11079.99,4.90528001
1516747440,11071.8,11080.0,11071.81,11080.0,3.26203673
1516747380,11071.8,11071.82,11071.81,11071.8,1.8549644800000002
1516747320,11071.81,11071.82,11071.81,11071.82,1.0785487300000003
1516747260,11071.81,11084.14,11084.14,11071.81,2.94207574
1516747200,11084.13,11095.0,11095.0,11084.13,6.655401129999999
1516747140,11095.0,11095.01,11095.0,11095.01,2.2402200700000003
1516747080,11093.71,11100.0,11093.71,11095.0,3.79876056
1516747020,11092.2,11106.0,11101.1,11093.71,3.84896852
1516746960,11101.0,11106.0,11106.0,11101.1,1.32707272
1516746900,11091.64,11106.0,11091.64,11106.0,1.24501652
1516746840,11090.95,11095.0,11090.95,11091.63,2.5270901500000003
1516746780,11087.0,11095.0,11087.0,11090.96,1.3373358
1516746720,11086.99,11087.0,11087.0,11087.0,1.88331129
1516746660,11079.22,11120.0,11120.0,11085.13,4.4367790099999995
1516746600,11115.47,11159.0,11159.0,11120.0,9.50262663
1516746540,11149.99,11159.0,11150.0,11159.0,5.197654599999999
1516746480,11134.29,11150.0,11134.29,11149.99,6.222970260000001
1516746420,11132.99,11134.3,11132.99,11134.29,15.825705410000001
1516746360,11132.98,11133.0,11132.99,11132.99,6.867761449999999
1516746300,11092.99,11134.3,11092.99,11132.98,11.17828666
1516746240,11075.0,11090.0,11075.0,11090.0,1.9580700700000002
1516746180,11074.33,11092.01,11092.0,11075.0,0.6866159399999999
1516746120,11092.0,11093.72,11093.72,11092.01,1.8071551600000002
1516746060,11093.71,11094.0,11093.71,11093.71,0.50731999
1516746000,11092.98,11093.72,11092.99,11093.72,0.8332269299999999
1516745940,11092.98,11093.7,11093.69,11092.98,1.6132780000000002
1516745880,11093.69,11093.7,11093.7,11093.69,1.3571404200000001
1516745820,11066.99,11099.0,11066.99,11099.0,1.7075755
1516745760,11066.58,11067.0,11066.59,11067.0,1.41809543
1516745700,11066.57,11066.59,11066.57,11066.58,5.71111592
1516745640,11066.56,11066.58,11066.56,11066.58,1.4481030400000001
1516745580,11066.57,11100.0,11100.0,11066.57,12.647567089999997
1516745520,11099.99,11100.0,11100.0,11100.0,31.40506518
1516745460,11049.99,11100.0,11050.0,11099.99,18.510589259999996
1516745400,11049.99,11050.0,11050.0,11050.0,1.3650591300000001
1516745340,11045.49,11049.99,11045.5,11049.99,4.13646664
1516745280,11045.49,11045.5,11045.5,11045.49,2.2349628
1516745220,11024.6,11045.5,11024.61,11045.49,2.24440392
1516745160,10999.99,11024.61,10999.99,11024.61,1.7881022999999998
1516745100,10998.99,11000.0,10999.0,11000.0,1.9297491900000001
1516745040,10998.99,10999.0,10999.0,10998.99,0.25329450000000003
1516744980,10998.99,10999.0,10998.99,10999.0,0.39748031
1516744920,10998.99,10999.0,10998.99,10999.0,2.4365017100000004
1516744860,10998.99,10999.02,10999.02,10999.0,0.77199832
1516744800,10981.04,10999.02,10981.05,10999.02,2.7360960599999995
1516744740,10981.0,10981.05,10981.01,10981.05,3.0926747800000003
1516744680,10981.0,10983.0,10983.0,10981.0,2.2129106399999996
1516744620,10999.99,11000.0,11000.0,10999.99,3.62457768
1516744560,10999.99,11000.0,11000.0,10999.99,0.93800846
1516744500,10991.47,11000.0,10991.48,10999.99,2.7174375600000005
1516744440,10980.0,10980.03,10980.01,10980.03,2.32683943
1516744380,10980.0,11020.0,11020.0,10980.01,2.1064389500000003
1516744320,10993.56,11020.0,10993.56,11019.99,2.95012193
1516744260,10966.58,10995.09,10966.58,10993.55,1.79002984
1516744200,10966.57,11009.01,11009.01,10966.58,3.4140464199999996
1516744140,11003.61,11009.02,11003.61,11009.02,1.12470098
1516744080,10960.51,11010.6,10960.51,11010.6,2.3931084300000003
1516744020,10960.5,10975.99,10975.99,10960.5,4.61514534
1516743960,10977.76,11022.74,11022.74,10986.41,0.06326249
1516743900,11000.0,11022.74,11000.0,11022.74,2.10575189
1516743840,11000.0,11000.01,11000.0,11000.01,0.56952199
1516743780,11000.0,11003.79,11003.79,11000.01,5.69676908
1516743720,11003.79,11023.01,11023.0,11003.8,1.30873159
1516743660,11023.0,11024.01,11024.01,11023.01,1.6005139400000001
1516743600,11024.01,11038.0,11038.0,11024.01,0.8818167099999998
1516743540,11022.73,11023.02,11022.73,11023.02,1.8521812400000004
1516743480,11022.71,11050.42,11050.42,11022.87,5.04913615
1516743420,11050.41,11050.42,11050.41,11050.42,2.9116144999999998
1516743360,11040.0,11050.42,11040.27,11050.41,6.071288190000001
1516743300,11042.6,11050.0,11050.0,11042.6,1.01278991
1516743240,11000.0,11050.0,11000.0,11050.0,11.433293920000002
1516743180,10981.56,11000.0,10981.56,11000.0,1.2006675999999998
1516743120,10974.68,10982.18,10974.68,10980.92,0.9809272
1516743060,10970.99,10971.87,10970.99,10971.87,0.9702739400000001
1516743000,10970.99,10971.0,10971.0,10971.0,2.45422862
1516742940,10962.99,10971.0,10963.0,10971.0,1.9092467699999993
1516742880,10962.29,10963.0,10962.29,10962.99,0.43783015000000003
1516742820,10962.28,10962.29,10962.29,10962.29,1.4972861599999998
1516742760,10962.28,10970.7,10970.7,10962.28,1.28184787
1516742700,10955.18,10991.19,10991.19,10971.69,2.73834465
1516742640,10953.95,10991.59,10953.95,10991.59,3.75706777
1516742580,10953.95,10985.01,10985.01,10953.95,4.76318942
1516742520,10980.05,11018.89,11007.07,10985.02,4.01082263
1516742460,10980.0,11000.0,10980.01,10999.98,3.262486209999999
1516742400,10980.0,10991.56,10991.56,10980.0,2.2306545499999997
1516742340,10991.56,10991.57,10991.56,10991.57,3.19181459
1516742280,10981.15,11000.83,10981.15,10991.56,4.2757312899999995
1516742220,10974.15,10991.55,10974.16,10981.15,1.9473997
1516742160,10962.14,10981.13,10962.14,10981.13,2.233876729999999
1516742100,10925.0,10962.13,10950.02,10962.13,4.2916794
1516742040,10950.0,10970.98,10950.01,10950.01,3.725132699999999
1516741980,10950.0,10979.01,10979.01,10950.0,2.2296110000000007
1516741920,10979.0,10990.0,10990.0,10979.01,22.77100478
1516741860,10979.18,11021.0,10979.18,10998.99,18.648883710000007
1516741800,10969.0,11000.01,11000.01,10979.18,9.433415719999998
1516741740,11000.0,11053.66,11053.66,11000.01,6.24924227
1516741680,11054.42,11066.0,11066.0,11054.42,2.01026666
1516741620,11066.0,11089.94,11089.94,11066.0,3.2879456100000004
1516741560,11089.93,11095.32,11095.32,11089.93,1.24629116
1516741500,11084.02,11098.98,11084.03,11089.4,2.05462011
1516741440,11066.0,11089.0,11089.0,11084.02,5.33744588
1516741380,11089.01,11093.39,11093.39,11089.01,4.9198672299999995
1516741320,11070.08,11100.0,11078.45,11093.98,2.22038156
1516741260,11078.44,11101.0,11101.0,11078.44,2.5526708399999998
1516741200,11100.98,11100.99,11100.99,11100.98,2.86380237
1516741140,11071.09,11101.0,11071.09,11100.98,3.8710082199999998
1516741080,11071.08,11100.01,11100.01,11071.08,3.8413419
1516741020,11100.0,11107.8,11107.8,11100.0,1.55556522
1516740960,11107.63,11132.08,11132.08,11107.8,0.8159147
1516740900,11112.19,11132.08,11121.81,11132.08,1.2765274600000003
1516740840,11100.0,11135.01,11135.0,11125.0,3.80574447
1516740780,11111.0,11137.94,11111.01,11135.0,1.5846260499999998
1516740720,11111.0,11159.23,11159.23,11111.0,7.87380792
1516740660,11049.99,11164.5,11049.99,11159.24,17.382967720000003
1516740600,11049.99,11050.0,11050.0,11050.0,14.054623519999996
1516740540,11010.0,11050.0,11010.87,11050.0,8.07657109
1516740480,11010.0,11050.0,11049.99,11010.0,2.3950245799999994
1516740420,11049.99,11050.0,11049.99,11049.99,3.0790234699999997
1516740360,11046.73,11050.0,11046.74,11049.99,4.476014950000001
1516740300,11041.3,11046.74,11041.31,11046.74,4.09081045
1516740240,11001.47,11040.97,11001.47,11030.14,8.526802979999998
1516740180,11006.0,11006.37,11006.36,11006.0,2.0131967100000008
1516740120,11001.0,11006.48,11001.0,11006.36,3.3577836699999994
1516740060,11001.0,11001.01,11001.0,11001.0,2.7821139099999996
1516740000,11000.0,11043.61,11043.61,11001.01,3.657745999999999
1516739940,11043.6,11050.02,11050.02,11043.6,7.16484947
1516739880,11055.91,11055.92,11055.91,11055.91,1.8223059000000001
1516739820,11055.91,11078.01,11078.01,11055.91,7.1442700299999995
1516739760,11078.0,11078.01,11078.0,11078.0,3.2850686900000015
1516739700,11078.0,11078.03,11078.03,11078.0,4.308732580000002
1516739640,11078.03,11078.04,11078.04,11078.03,4.796027289999999
1516739580,11078.0,11092.97,11082.04,11078.03,7.7651912800000025
1516739520,11046.27,11071.99,11046.47,11071.99,3.1824238100000004
1516739460,11034.98,11049.0,11034.98,11046.27,5.064008260000001
1516739400,11000.0,11040.0,11000.0,11034.98,5.83341296
1516739340,10996.66,11010.0,11010.0,11000.0,2.6156067199999997
1516739280,10997.43,11010.0,10997.44,11010.0,2.6204113999999996
1516739220,10963.97,10997.44,10963.97,10997.44,3.037932600000001
1516739160,10963.21,11022.26,11016.92,10968.77,4.33303645
1516739100,11009.76,11045.98,11045.98,11022.52,10.174924439999996
1516739040,10975.0,11049.0,10975.0,11049.0,10.055783659999998
1516738980,10944.44,10975.0,10944.44,10975.0,8.46837172
1516738920,10908.68,10944.44,10922.5,10944.44,10.351631910000002
1516738860,10889.91,10925.0,10889.91,10922.49,8.0493328
1516738800,10870.78,10889.92,10870.78,10889.91,7.4366404600000005
1516738740,10870.77,10870.78,10870.78,10870.77,1.5044462
1516738680,10870.02,10870.78,10870.77,10870.77,0.7989989200000001
1516738620,10877.93,10890.0,10877.93,10889.98,1.9555998999999997
1516738560,10877.92,10877.93,10877.92,10877.93,4.64752572
1516738500,10875.59,10888.49,10875.59,10877.93,2.48674507
1516738440,10860.6,10875.6,10870.19,10875.6,1.9120187
1516738380,10870.18,10913.0,10913.0,10870.19,3.11608893
1516738320,10913.4,10920.58,10920.57,10913.4,1.53274645
1516738260,10927.71,10940.27,10940.27,10927.71,2.06307665
1516738200,10916.72,10944.44,10944.43,10940.26,1.1199539499999998
1516738140,10944.43,10950.0,10950.0,10944.43,3.7426982299999993
1516738080,10913.4,10950.0,10913.4,10949.99,3.3258693
1516738020,10913.4,10929.49,10929.48,10913.4,3.664640779999999
1516737960,10929.48,10930.82,10930.82,10929.48,1.10759263
1516737900,10930.81,10940.0,10939.99,10930.81,4.398125199999999
1516737840,10939.99,10952.01,10952.01,10939.99,4.185452299999999
1516737780,10952.0,10952.01,10952.0,10952.0,3.2148105799999995
1516737720,10952.0,10985.6,10985.6,10952.01,2.59883816
